"id";"produto";"nome_busca";"cluster_sugerido";"subcluster_sugerido";"confianca";"motivo";"confirmado"
"10797";"FT ADULTO - TO TRANQUILO - 30ML";"ADULTO - TO TRANQUILO - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10798";"FT ADULTO - VIVER BEM - 30ML";"ADULTO - VIVER BEM - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10799";"FT ADULTO - SETE CHAKRAS - 30ML";"ADULTO - SETE CHAKRAS - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10800";"FT ADULTO - DESTRISTE - 30ML";"ADULTO - DESTRISTE - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10801";"FT ADULTO - FASENOVA - 30ML";"ADULTO - FASENOVA - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10802";"FT ADULTO - TEIMOZIN - 30ML";"ADULTO - TEIMOZIN - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10803";"FT ADULTO - DISCIPLIN - 30ML";"ADULTO - DISCIPLIN - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10804";"FT ADULTO - MOTIVAMAIS - 30ML";"ADULTO - MOTIVAMAIS - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10810";"NF VITALIN - MISTURA PARA MASSAS 5 EM 1 - 250G";"VITALIN - MISTURA PARA MASSAS 5 EM 1 - 250G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10814";"SN COLLAGEN & MELATONIN - 240G";"COLLAGEN & MELATONIN - 240G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10816";"SN COENZIMA Q10 - 60 CÁPS.";"COENZIMA Q10 - 60 CÁPS.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10822";"WN OLEO ESSENCIAL - TOMILHO - 5ML";"OLEO ESSENCIAL - TOMILHO - 5ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10830";"PF HEBRON - IMUNOGLUCAN DS - 30 CÁPS.";"HEBRON - IMUNOGLUCAN DS - 30 CÁPS.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10832";"BR MEL - SILVRESTRE COM FAFO - 500G";"SILVRESTRE COM FAFO - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10833";"PL ESSENCIA FLOR DE ALGODÃO E VANILLA - 10ML";"ESSENCIA FLOR DE ALGODÃO E VANILLA - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10839";"PL PLURI - ESSENCIA LIRIO E CASSIS - 10ML";"PLURI - ESSENCIA LIRIO E CASSIS - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10840";"PL PLURI - ESSENCIA VANILLA E FAVA - 10ML";"PLURI - ESSENCIA VANILLA E FAVA - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10841";"PL PLURI - ESSENCIA MAÇÃ E CANELA - 10ML";"PLURI - ESSENCIA MAÇÃ E CANELA - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10845";"PL PLURI - ESSENCIA AMORA & LIMÃO - 10ML";"PLURI - ESSENCIA AMORA & LIMÃO - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10846";"PL PLURI - ESSENCIA CAJU & PERA - 10ML";"PLURI - ESSENCIA CAJU & PERA - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10848";"PY OLEO PARA UNHAS E CUTICULAS - 7ML";"OLEO PARA UNHAS E CUTICULAS - 7ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10853";"LA BIO2 - 7NUTS DAMASCO - 25G";"BIO2 - 7NUTS DAMASCO - 25G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10855";"LA NATURATTA - BISCOITO DE ARROZ CHOCOLATE - 60G";"NATURATTA - BISCOITO DE ARROZ CHOCOLATE - 60G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"10856";"LA NATURATTA - BISCOITO DE ARROZ AMENDOIM - 40G";"NATURATTA - BISCOITO DE ARROZ AMENDOIM - 40G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"10858";"LA NATURATTA - BISCOITO DE ARROZ CHOCO BRANCO - 40";"NATURATTA - BISCOITO DE ARROZ CHOCO BRANCO - 40";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"10859";"TB CHÁS - HERBAL BANCHA E LIMÃO - 15 SACHÊS";"CHÁS - HERBAL BANCHA E LIMÃO - 15 SACHÊS";"Vitalidade";"Tônico";65;"classificação automática de baixa confiança";0
